,Tata Open,Tata High,Tata Low,Tata Close,Tata Adj Close,Tata Volume
7/26/2022,3164.699951,3168.899902,3096.5,3115.899902,3046.151855,2639367
7/25/2022,3165,3186.449951,3149.100098,3166.75,3095.863525,1797504
7/22/2022,3185,3197,3143.5,3171,3100.018311,2075886
7/21/2022,3167,3184,3144.050049,3177.300049,3106.17749,2420640
7/20/2022,3107.800049,3171.949951,3098.050049,3164.800049,3093.957275,3402251
7/19/2022,3030.050049,3078.949951,3030.050049,3074.25,3005.434082,1865074
7/18/2022,3023,3076.949951,3014.300049,3063.5,2994.924805,3202795
7/15/2022,3018.550049,3028.899902,2953,2994.600098,2927.567139,4574806
7/14/2022,3056,3057,2967,2998.75,2931.624023,4764908
7/13/2022,3104,3110,3035,3038.75,2962.907959,3863530
07-12-2022,3114.899902,3136.199951,3080.25,3084.699951,3007.710938,3734815
07-11-2022,3206.149902,3225,3106,3113.800049,3036.084717,6974600
07-08-2022,3300,3305,3250,3265.449951,3183.949707,2136916
07-07-2022,3271,3319.399902,3265.050049,3287.850098,3205.790771,1989921
07-06-2022,3218.5,3268.5,3202.25,3260.75,3179.366943,2182144
07-05-2022,3255,3272,3206.949951,3216.300049,3136.026611,2170627
07-04-2022,3312,3317.949951,3225.050049,3235.050049,3154.308594,2622535
07-01-2022,3260,3333,3252.050049,3315.100098,3232.36084,1502879
6/30/2022,3272,3310.899902,3255,3267.100098,3185.558594,2719603
6/29/2022,3271,3333,3271,3290.5,3208.374512,2133994
6/28/2022,3307,3330,3272.600098,3318.149902,3235.334229,1400046
6/27/2022,3350,3362.899902,3306.5,3314.699951,3231.970459,2037686
6/24/2022,3339,3345,3277.5,3293.100098,3210.909668,2132118
6/23/2022,3222.949951,3318,3222.949951,3308.800049,3226.217773,3692578
6/22/2022,3199.899902,3250.550049,3183,3222.949951,3142.510254,3336315
6/21/2022,3130,3237.75,3125.399902,3211.949951,3131.784912,2964461
6/20/2022,3094,3138.75,3069,3112.399902,3034.719727,1502769
6/17/2022,3092,3118.75,3023.850098,3088.899902,3011.806152,5240434
6/16/2022,3240,3244.850098,3133.050049,3142,3063.581055,2032028
6/15/2022,3218.5,3234,3201,3206.300049,3126.276123,1404536
6/14/2022,3190,3238.899902,3174.699951,3210.550049,3130.419922,2611493
6/13/2022,3290,3293,3192.449951,3219.600098,3139.244141,3030921
06-10-2022,3382,3393,3352,3359.899902,3276.04248,1527582
06-09-2022,3385,3437,3353.100098,3427.100098,3341.565186,1279197
06-08-2022,3380.149902,3413.949951,3346.5,3404.149902,3319.187988,2185707
06-07-2022,3401.050049,3418.850098,3356,3362.699951,3278.772461,2308256
06-06-2022,3418,3453,3377.149902,3430.949951,3345.319336,1084210
06-03-2022,3459.399902,3477.300049,3431.199951,3440.149902,3354.289551,1913622
06-02-2022,3355,3432,3346.300049,3423,3337.567871,2657939
06-01-2022,3388,3388,3340.050049,3355.199951,3271.459717,1493835
5/31/2022,3354.149902,3383.399902,3325,3364.350098,3280.381592,4840965
5/30/2022,3297,3386.600098,3286.350098,3375.25,3291.009521,2094624
5/27/2022,3253.199951,3278.899902,3229.199951,3261.300049,3179.90332,3103153
5/26/2022,3191,3241.5,3180.550049,3226.949951,3146.410645,2813186
5/25/2022,3292.850098,3292.850098,3154.050049,3167.649902,3088.590576,3548046
5/24/2022,3315.149902,3324.850098,3275.600098,3288,3184.486084,1711510
5/23/2022,3304.800049,3338.899902,3267,3321.75,3217.17334,2293690
5/20/2022,3310,3313.899902,3270.050049,3293,3189.328369,3065125
5/19/2022,3397,3405,3230,3261.949951,3159.256104,4642963
5/18/2022,3465,3495,3443.050049,3448.800049,3340.223877,1866781
5/17/2022,3370,3467,3350.399902,3451.600098,3342.935547,1754076
5/16/2022,3415,3430,3366.600098,3376.800049,3270.490479,1195813
5/13/2022,3435,3439.899902,3382.149902,3414.899902,3307.390869,2187823
05-12-2022,3378,3449.699951,3350.100098,3408.649902,3301.337891,2807195
05-11-2022,3435,3448.449951,3382.149902,3412,3304.582275,1841769
05-10-2022,3434,3464.800049,3422,3438.75,3330.48999,1622685
05-09-2022,3398,3456,3346.850098,3445.100098,3336.640381,2481830
05-06-2022,3459,3474.5,3424.5,3432.600098,3324.533691,2010812
05-05-2022,3512.100098,3533,3485.350098,3513.399902,3402.789795,1612262
05-04-2022,3538.5,3545.449951,3465.300049,3479.75,3370.199463,2305825
05-02-2022,3519.899902,3547.949951,3492.75,3542.399902,3430.876953,1324161
4/29/2022,3597,3623.25,3536.850098,3546.699951,3435.041748,2051115
4/28/2022,3588,3604.399902,3538.050049,3584.300049,3471.458008,1703660
4/27/2022,3546,3568.449951,3506.300049,3561.199951,3449.085449,1727648
4/26/2022,3575.149902,3587.899902,3518.149902,3546.300049,3434.654297,1943469
4/25/2022,3558,3584,3533.100098,3548.199951,3436.494385,1960694
4/22/2022,3581.100098,3617,3571.5,3612.550049,3498.818604,1581465
4/21/2022,3580,3644,3567.399902,3628.649902,3514.411377,2280996
4/20/2022,3500,3569.149902,3480,3556.800049,3444.82373,2640370
4/19/2022,3550,3563.550049,3439.149902,3471.899902,3362.596436,3170014
4/18/2022,3610,3610,3522.5,3528.050049,3416.979004,3820792
4/13/2022,3707,3709.850098,3655.550049,3661.949951,3546.663086,1621672
04-12-2022,3683,3739,3648.350098,3691.100098,3574.895752,4483476
04-11-2022,3690,3712.350098,3656.100098,3696.399902,3580.028564,2291660
04-08-2022,3690,3705,3642.5,3685.649902,3569.617188,2296773
04-07-2022,3745.5,3745.5,3679,3684.149902,3568.164307,2494829
04-06-2022,3809.300049,3809.300049,3731.149902,3755.350098,3637.123047,2051729
04-05-2022,3772,3835.600098,3772,3814.800049,3694.701172,2314947
04-04-2022,3762,3780,3737.100098,3770.350098,3651.650879,1472994
04-01-2022,3748,3763,3728.050049,3758.75,3640.416016,1387014
3/31/2022,3740,3754.649902,3720.199951,3739.949951,3622.207764,2168110
3/30/2022,3738,3738,3706.199951,3731.550049,3614.072021,1583455
3/29/2022,3694.75,3722,3691,3705.350098,3588.696777,2689063
3/28/2022,3695,3713,3661.199951,3707.699951,3590.9729,1760990
3/25/2022,3759.899902,3779.5,3672,3707.449951,3590.730713,1690133
3/24/2022,3700,3758.199951,3695,3749.850098,3631.795898,1879046
3/23/2022,3708,3729.800049,3690,3712.399902,3595.525146,1596195
3/22/2022,3640,3711,3625,3700.949951,3584.435303,2907611
3/21/2022,3696,3713.949951,3615,3626.699951,3512.523193,2413831
3/17/2022,3696.600098,3710,3660.300049,3672.75,3557.123291,3600452
3/16/2022,3640.5,3668,3616.25,3655.899902,3540.803467,3090475
3/15/2022,3659,3659,3585.399902,3593.899902,3480.755371,3651133
3/14/2022,3580,3648.350098,3580,3643,3528.310059,1765688
03-11-2022,3603.25,3639.850098,3592.850098,3599.149902,3485.840088,1623423
03-10-2022,3684,3684,3615,3620.949951,3506.954102,2005441
03-09-2022,3605,3654,3597.050049,3632.600098,3518.237549,2719654
03-08-2022,3460,3609,3460,3599.949951,3486.61499,3300992
